RPHO_separate_LA,raceName,2020,2021,2022,2023
BAY AREA,American Indian or Alaska Native,22995,22711,22512,22437
BAY AREA,Asian,2261217,2225749,2206449,2198987
BAY AREA,Black,467181,461341,457258,455915
BAY AREA,Latino,2236271,2209349,2191794,2185293
BAY AREA,Multi-Race,320245,315805,313112,312107
BAY AREA,Native Hawaiian and other Pacific Islander,47983,47302,46968,46790
BAY AREA,White,3156976,3112746,3087358,3076364
CENTRAL CALIFORNIA,American Indian or Alaska Native,26226,26303,26326,26459
CENTRAL CALIFORNIA,Asian,365384,366349,366894,368411
CENTRAL CALIFORNIA,Black,193126,193581,193794,194511
CENTRAL CALIFORNIA,Latino,2351758,2357173,2359943,2369053
CENTRAL CALIFORNIA,Multi-Race,103745,103922,103929,104292
CENTRAL CALIFORNIA,Native Hawaiian and other Pacific Islander,13534,13547,13536,13594
CENTRAL CALIFORNIA,White,1372411,1374170,1374017,1378037
GREATER SIERRA SACRAMENTO,American Indian or Alaska Native,20377,20280,20252,20223
GREATER SIERRA SACRAMENTO,Asian,385017,384006,383378,382870
GREATER SIERRA SACRAMENTO,Black,179246,178927,178212,177668
GREATER SIERRA SACRAMENTO,Latino,671316,669478,669412,668903
GREATER SIERRA SACRAMENTO,Multi-Race,135246,134969,134676,134582
GREATER SIERRA SACRAMENTO,Native Hawaiian and other Pacific Islander,22102,22006,21885,21835
GREATER SIERRA SACRAMENTO,White,1568819,1565680,1562561,1561347
LOS ANGELES COUNTY,American Indian or Alaska Native,18784,18587,18372,18288
LOS ANGELES COUNTY,Asian,1505832,1489534,1472534,1466206
LOS ANGELES COUNTY,Black,795612,786999,778033,774678
LOS ANGELES COUNTY,Latino,4893290,4840349,4785108,4764535
LOS ANGELES COUNTY,Multi-Race,227442,224997,222404,221454
LOS ANGELES COUNTY,Native Hawaiian and other Pacific Islander,22043,21810,21565,21481
LOS ANGELES COUNTY,White,2550540,2522938,2494151,2483423
RURAL NORTH,American Indian or Alaska Native,23641,23447,23245,23225
RURAL NORTH,Asian,16645,16555,16429,16405
RURAL NORTH,Black,10477,10424,10299,10201
RURAL NORTH,Latino,130292,129344,128330,127911
RURAL NORTH,Multi-Race,26490,26287,26085,25933
RURAL NORTH,Native Hawaiian and other Pacific Islander,1597,1547,1508,1526
RURAL NORTH,White,491160,487283,483177,481346
SOUTHERN CALIFORNIA,American Indian or Alaska Native,48709,48517,48524,48594
SOUTHERN CALIFORNIA,Asian,1557633,1549905,1545711,1546513
SOUTHERN CALIFORNIA,Black,568708,567794,567348,568969
SOUTHERN CALIFORNIA,Latino,5504753,5487204,5479739,5490251
SOUTHERN CALIFORNIA,Multi-Race,362198,360690,359977,360613
SOUTHERN CALIFORNIA,Native Hawaiian and other Pacific Islander,40030,39835,39819,39914
SOUTHERN CALIFORNIA,White,4803020,4780113,4771947,4779343
