"","county","Rate2000-2002","Rate2003-2005","Rate2006-2008","Rate2009-2011","Rate2012-2014","Rate2015-2017","PercentChangeHomi","SE2000-2002","SE2003-2005","SE2006-2008","SE2009-2011","SE2012-2014","SE2015-2017","zdif","pdif"
"1","Alameda",8.241,8.502,10.69,8.116,7.34,6.387,-40.2525724976614,0.4245,0.4324,0.4817,0.4176,0.3908,0.3584,-7.16683615483281,3.83804099612917e-13
"2","Butte",4.835,3.346,5.065,4.531,4.392,4.296,-15.182625863771,0.9466,0.7162,0.9418,0.875,0.8323,0.8548,-0.604618367693926,0.272716299736834
"3","CALIFORNIA",6.616,6.993,6.51,5.327,5.082,5.295,-18.6635944700461,0.0791,0.07986,0.07618,0.06849,0.06665,0.06779,-11.9146987926079,0
"4","Contra Costa",6.757,9.041,10.23,8.496,6.18,6.404,-37.3998044965787,0.4961,0.5643,0.598,0.5384,0.4506,0.452,-5.10401988907037,1.66256652001096e-07
"5","El Dorado",2.941,2.639,3.924,NA,2.913,2.255,-42.533129459735,0.8368,0.7629,0.9258,NA,0.8224,0.6925,-1.44359561341766,0.074426379783733
"6","Fresno",7.049,8.846,8.032,7.698,8.21,7.788,-3.03784860557769,0.5398,0.5901,0.5473,0.5272,0.5453,0.5224,-0.322496644440136,0.373538239716492
"7","Humboldt",6.498,5.683,2.999,6.065,6.276,8.602,186.828942980994,1.287,1.229,0.8077,1.301,1.249,1.498,3.29224848007518,0.000496948777996664
"8","Imperial",4.977,4.284,4.492,NA,2.406,3.075,-31.5449688334817,1.149,1.028,0.9642,NA,0.6763,0.7833,-1.14065166810546,0.12700745344056
"9","Kern",7.357,7.832,7.813,8.747,8.648,9.555,22.2961730449251,0.6064,0.5979,0.5741,0.59,0.5891,0.6104,2.07885520636981,0.0188153304485615
"10","Kings",4.195,3.865,3.728,5.636,5.023,8.039,115.638412017167,1.055,0.961,0.8856,1.165,1.091,1.374,2.63722097041984,0.00417941808875433
"11","Lake",NA,NA,7.886,6.305,11.8,14.54,84.3773776312452,NA,NA,2.15,1.973,2.702,3.073,1.77419001141182,0.0380158629305952
"12","Los Angeles",10.82,10.43,8.845,6.459,5.656,6.112,-30.8988128886377,0.1902,0.1844,0.1697,0.1451,0.1358,0.1416,-12.3655474628467,0
"13","Madera",7.332,6.756,5.318,5.74,6.293,4.532,-14.7799924783753,1.389,1.282,1.091,1.16,1.185,1.055,-0.5179009725698,0.302263681709647
"14","Marin",1.976,1.9,1.735,2.917,NA,1.861,7.26224783861671,0.5709,0.5255,0.5204,0.6932,NA,0.5041,0.173907623240074,0.430969030722961
"15","Mendocino",5.785,7.268,6.567,7.428,NA,6.02,-8.32952641997869,1.518,1.782,1.667,1.796,NA,1.577,-0.238371540949122,0.405796469173857
"16","Merced",4.708,9.328,7.643,7.792,9.224,8.327,8.94936543242183,0.8299,1.175,1.012,1.028,1.081,1.024,0.475100822986847,0.317357555966043
"17","Monterey",6.451,5.844,6.907,10.03,9.949,12.13,75.6189373099754,0.7031,0.6685,0.7358,0.8707,0.8873,0.9694,4.29162991281197,8.86831920754449e-06
"18","Napa",NA,3.237,NA,NA,NA,NA,NA,NA,0.9405,NA,NA,NA,NA,NA,NA
"19","Orange",2.729,2.985,2.99,2.573,2.017,2.407,-19.4983277591973,0.1775,0.1839,0.1822,0.1685,0.1476,0.1612,-2.3964739282883,0.0082768355465197
"20","Placer",1.345,1.984,1.455,1.896,2.324,1.653,13.6082474226804,0.4091,0.4716,0.4048,0.4404,0.4836,0.401,0.347494628693857,0.364109876543426
"21","Riverside",6.79,6.35,5.99,4.431,4.756,4.605,-23.1218697829716,0.3794,0.3417,0.3135,0.262,0.2689,0.2623,-3.38830845387004,0.000351625646082376
"22","Sacramento",6.109,7.287,7.395,5.72,6.178,6.726,-9.04665314401622,0.4,0.4222,0.4193,0.3656,0.3791,0.3915,-1.16619787499492,0.121767225772673
"23","San Bernardino",8.11,9.486,7.917,6.305,6.59,6.659,-15.8898572691676,0.3935,0.4073,0.3621,0.3218,0.3304,0.3254,-2.58407449535472,0.00488203510446295
"24","San Diego",3.608,4.407,3.843,2.815,3.11,3.054,-20.5308352849337,0.2019,0.2185,0.2017,0.1712,0.1799,0.1781,-2.93224478160893,0.00168260695192646
"25","San Francisco",6.936,8.231,8.518,5.841,3.776,5.005,-41.242075604602,0.5617,0.5968,0.584,0.4894,0.3992,0.4465,-4.77873718507318,8.81997943014134e-07
"26","San Joaquin",8.189,6.825,7.464,10.3,10.41,10.17,36.2540192926045,0.6878,0.5969,0.6085,0.7134,0.7074,0.6942,2.93130239402924,0.00168772017628982
"27","San Luis Obispo",1.954,2.259,2.571,1.852,1.676,2.582,0.427849085958758,0.5516,0.5444,0.5943,0.4701,0.4604,0.6112,0.0129032108926601,0.494852506459191
"28","San Mateo",2.673,4.816,3.565,3.463,2.314,2.264,-36.4936886395512,0.3589,0.4898,0.4197,0.4208,0.3392,0.3298,-2.43735494138545,0.00739757447196099
"29","Santa Barbara",2.397,1.645,2.646,2.66,3.036,3.436,29.8563869992441,0.4426,0.3717,0.4671,0.4686,0.4971,0.5126,1.13915052200473,0.127320189134076
"30","Santa Clara",2.416,2.86,2.717,2.597,3.027,2.89,6.36731689363268,0.2184,0.2363,0.2263,0.2198,0.234,0.2251,0.541998408914928,0.293909800983326
"31","Santa Cruz",3.076,2.877,2.822,3.88,4.361,2.812,-0.354358610914253,0.6194,0.6055,0.5966,0.7035,0.7506,0.6017,-0.0118017253956955,0.495291902049437
"32","Shasta",4.241,5.08,6.067,2.741,5.976,6.523,7.51607054557441,0.9921,1.054,1.099,0.776,1.136,1.144,0.287450575590962,0.386883670312115
"33","Siskiyou",NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,3.16,NA,NA
"34","Solano",5.812,7.003,8.503,7.886,9.481,8.516,0.152887216276607,0.6914,0.7574,0.8328,0.8063,0.8906,0.837,0.0110101318449264,0.495607681636114
"35","Sonoma",3.212,3.138,2.882,2.87,1.572,2.861,-0.728660652324771,0.4859,0.4763,0.4599,0.4588,0.3309,0.4653,-0.0320989828946605,0.487196557263084
"36","Stanislaus",5.168,6.757,6.271,6.785,6.652,5.986,-4.54472970818052,0.616,0.6788,0.6474,0.6678,0.6509,0.6326,-0.314862441999222,0.376433049581101
"37","Sutter",5.765,5.934,4.103,5.025,5.214,6.065,47.8186692663905,1.545,1.536,1.241,1.353,1.361,1.492,1.01099843817105,0.156008588656267
"38","Tehama",NA,NA,7.312,NA,7.174,NA,NA,NA,NA,2.062,NA,2.1,NA,NA,NA
"39","Tulare",5.944,8.318,10.29,7.391,9.42,8.601,-16.4139941690962,0.729,0.839,0.9146,0.737,0.8591,0.7984,-1.39120259037912,0.0820820009857696
"40","Ventura",3.811,5.054,3.664,2.791,3.468,3.497,-4.55786026200874,0.4092,0.4642,0.3917,0.3379,0.3756,0.3803,-0.305891087002368,0.379843786222155
"41","Yolo",2.824,2.86,NA,2.368,2.845,2.9,NA,0.7536,0.7546,NA,0.6393,0.7172,0.7354,NA,NA
"42","Yuba",NA,5.279,5.07,NA,NA,7.344,44.8520710059172,NA,1.605,1.544,NA,NA,1.861,0.940403786479805,0.173505240351316
