year,agell,ageul,GEOID,raceCode,sex,Nx,Dx,mx,ax,ex,exlow,exhigh
2018,0,0,Richmond,Total,T,1670,19,0.011377245508982036,0.06,79.56053236561658,78.93578371949258,80.18528101174059
2018,1,4,Richmond,Total,T,31730,7,2.206114087614245e-4,1.64,79.46564730332659,78.98426502896497,79.94702957768821
2018,5,14,Richmond,Total,T,68050,9,1.322556943423953e-4,5,75.53434906256673,75.05523977534945,76.01345834978402
2018,15,24,Richmond,Total,T,71925,60,8.342022940563086e-4,5,65.6276964843097,65.15185040631512,66.10354256230427
2018,25,34,Richmond,Total,T,92580,114,0.0012313674659753726,5,56.1355724758013,55.67341847790683,56.597726473695765
2018,35,44,Richmond,Total,T,72700,141,0.0019394773039889959,5,46.76914005130846,46.31613020272816,47.22214989988876
2018,45,54,Richmond,Total,T,74380,275,0.003697230438289863,5,37.58717585202163,37.14587508312019,38.02847662092307
2018,55,64,Richmond,Total,T,62955,578,0.009181161146850926,5,28.814690865966696,28.381270514886452,29.24811121704694
2018,65,74,Richmond,Total,T,43550,769,0.017657864523536165,5,21.10635678131319,20.673362317553952,21.539351245072424
2018,75,84,Richmond,Total,T,19430,734,0.03777663407102419,5,14.225809838819764,13.76851846419594,14.683101213443587
2018,85,199,Richmond,Total,T,7730,907,0.11733505821474774,8.522601984564497,8.522601984564497,7.9679550023818875,9.077248966747108
2018,0,0,San Pablo,Total,T,490,10,0.02040816326530612,0.06,71.07971660109949,69.99854617071199,72.160887031487
2018,1,4,San Pablo,Total,T,9265,1,1.0793308148947653e-4,1.64,71.5308755018167,70.90501642897226,72.15673457466113
2018,5,14,San Pablo,Total,T,22240,4,1.7985611510791367e-4,5,67.56105499413992,66.93772714103338,68.18438284724647
2018,15,24,San Pablo,Total,T,24050,18,7.484407484407485e-4,5,57.67367615524548,57.05907465136398,58.28827765912698
2018,25,34,San Pablo,Total,T,25455,43,0.0016892555490080534,5,48.06938824656202,47.477980930463275,48.660795562660766
2018,35,44,San Pablo,Total,T,22465,56,0.002492766525706655,5,38.803137729367954,38.243794766365596,39.36248069237031
2018,45,54,San Pablo,Total,T,19380,119,0.0061403508771929825,5,29.65640602454244,29.12947671824569,30.183335330839192
2018,55,64,San Pablo,Total,T,15795,243,0.015384615384615385,5,21.218350297590376,20.738556329059822,21.69814426612093
2018,65,74,San Pablo,Total,T,9565,349,0.03648719289074752,5,13.92140868052211,13.498827306815462,14.343990054228756
2018,75,84,San Pablo,Total,T,4040,403,0.09975247524752476,5,7.902958078862542,7.55486331983788,8.251052837887205
2018,85,199,San Pablo,Total,T,1450,394,0.2717241379310345,3.680203045685279,3.680203045685279,3.3168140593268496,4.0435920320437075
