causeNameShort,county,year,ageGroup,cDeathRate,Ndeaths,population
All CAUSES,CALIFORNIA,2022,0 - 4,91.6205,2036,2222210
All CAUSES,CALIFORNIA,2022,15 - 24,58.7893,3363,5720429
All CAUSES,CALIFORNIA,2022,25 - 34,152.142,7966,5235898
All CAUSES,CALIFORNIA,2022,35 - 44,205.363,10780,5249242
All CAUSES,CALIFORNIA,2022,45 - 54,351.36,17623,5015653
All CAUSES,CALIFORNIA,2022,14-May,10.6635,538,5045248
All CAUSES,CALIFORNIA,2022,55 - 64,768.507,37534,4884015
All CAUSES,CALIFORNIA,2022,65 - 74,1525.58,59155,3877542
All CAUSES,CALIFORNIA,2022,75 - 84,3640.95,74900,2057155
All CAUSES,CALIFORNIA,2022,85+,11843.8,99324,838616
